Code,Copilot F1
No code,0.3950617283950617
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.7441860465116279
"Only 18 V drills were displayed, which are too big to use with one hand",0.8421052631578947
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.7755102040816326
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.9230769230769231
"The user had to hunt down a clamp, since people forgot to put them away",0.8333333333333334
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.8679245283018868
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.7948717948717948
"wood scraps were too small to be useful to anyone, so they went in the trash",0.5416666666666666
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.8717948717948718
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.8791208791208791
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.7368421052631579
