Code,BART F1,BERT F1,MPNet F1,Jina F1
No code,0.0,0.0,0.0,0.0
"Lathe chuck overtightened: The lathe chuck was tightened too much, so the user loosened it with pliers",0.19444444444444445,0.6060606060606061,0.7916666666666666,0.8235294117647058
"Drill too large: Only 18 V drills were displayed, which are too big to use with one hand",0.3119266055045872,0.8521739130434782,0.9494949494949495,0.9333333333333333
"Gloves size large: Only size large disposable gloves were available, so the user struggled with the epoxy",0.8571428571428571,0.9411764705882353,0.9411764705882353,0.9333333333333333
Tall miter saw: The miter saw is a bit uncomfortable to use since it’s on a tall table,0.0,0.8,0.6551724137931034,0.72
"Clamps scattered around: The user had to hunt down a clamp, since people forgot to put them away",0.125,0.9090909090909091,0.9830508474576272,0.9523809523809523
"Sawdust, wood everywhere: The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.2631578947368421,0.9117647058823529,0.8888888888888888,0.8888888888888888
"Bumped into user: the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.125,0.7272727272727273,0.7714285714285715,0.7
"Useless wood scraps: wood scraps were too small to be useful to anyone, so they went in the trash",0.03571428571428571,0.5952380952380952,0.819672131147541,0.780952380952381
Unlabeled drill cabinet: the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.0851063829787234,0.7954545454545454,0.8666666666666667,0.8735632183908046
"Ripped trash bag: the trash bag was ripped, so the user took the trash out and replaced the bag",0.19047619047619047,0.7073170731707317,0.8354430379746836,0.8421052631578947
"Epoxy wait time: Epoxy needs to cure for 24 hours, so the user went home for the day",0.0,0.7916666666666666,0.5161290322580645,0.7804878048780488
