Code,Copilot F1
No code,0.3157894736842105
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.782608695652174
"Only 18 V drills were displayed, which are too big to use with one hand",0.425531914893617
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.6440677966101694
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.8421052631578947
"The user had to hunt down a clamp, since people forgot to put them away",0.5245901639344263
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.6046511627906976
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.8
"wood scraps were too small to be useful to anyone, so they went in the trash",0.7213114754098361
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.7027027027027027
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.9090909090909091
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.7692307692307693
